UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root      1079     1  1139  0    3 out07 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root      1079     1  1143  0    3 out07 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root      1080     1  1080  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1155  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1156  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1157  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1158  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1175  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1193  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1203  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1225  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1248  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1281  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1282  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1303  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1342  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1372  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1080     1  1428  0   16 out07 ?        00:00:00 /usr/lib/snapd/snapd
root      1082     1  1082  0    2 out07 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      1082     1  1202  0    2 out07 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      1083     1  1083  0    2 out07 ?        00:00:00 /usr/sbin/irqbalance --foreground
root      1083     1  1096  0    2 out07 ?        00:00:00 /usr/sbin/irqbalance --foreground
root      1087     1  1087  0    1 out07 ?        00:00:01 /lib/systemd/systemd-logind
root      1095     1  1095  0    1 out07 ?        00:00:00 /usr/sbin/cron -f
www-data  1145     1  1145  0    5 out07 ?        00:00:01 /usr/bin/mono /usr/lib/mono/4.5/xsp4.exe --port 8084 --address 0.0.0.0 --appconfigdir /etc/xsp4 --nonstop
